Path	FileID	File.name	A00	S	L	R	Sample.Name	Sample	Tissue
0.data/mlammers_ML01_Juni1/	172476	0.data/mlammers_ML01_Juni1/A006850201_172476_S21_L001_R1_001.fastq.gz	A006850201	S21	L001	R1	Pool35-head	Pool35	head
0.data/mlammers_ML01_Juni1/	172504	0.data/mlammers_ML01_Juni1/A006850201_172504_S22_L001_R1_001.fastq.gz	A006850201	S22	L001	R1	Pool49-head	Pool49	head
0.data/mlammers_ML01_Juni1/	172509	0.data/mlammers_ML01_Juni1/A006850201_172509_S23_L001_R1_001.fastq.gz	A006850201	S23	L001	R1	Pool51-head	Pool51	head
0.data/mlammers_ML01_Juni1/	172511	0.data/mlammers_ML01_Juni1/A006850201_172511_S24_L001_R1_001.fastq.gz	A006850201	S24	L001	R1	Pool52-head	Pool52	head
0.data/mlammers_ML01_Juni1/	172513	0.data/mlammers_ML01_Juni1/A006850201_172513_S25_L001_R1_001.fastq.gz	A006850201	S25	L001	R1	Pool1-ovaries	Pool1	ovaries
0.data/mlammers_ML01_Juni1/	172515	0.data/mlammers_ML01_Juni1/A006850201_172515_S26_L001_R1_001.fastq.gz	A006850201	S26	L001	R1	Pool2-ovaries	Pool2	ovaries
0.data/mlammers_ML01_Juni1/	172517	0.data/mlammers_ML01_Juni1/A006850201_172517_S27_L001_R1_001.fastq.gz	A006850201	S27	L001	R1	Pool3-ovaries	Pool3	ovaries
0.data/mlammers_ML01_Juni1/	172519	0.data/mlammers_ML01_Juni1/A006850201_172519_S28_L001_R1_001.fastq.gz	A006850201	S28	L001	R1	Pool4-ovaries	Pool4	ovaries
0.data/mlammers_ML01_Juni1/	172539	0.data/mlammers_ML01_Juni1/A006850201_172539_S29_L001_R1_001.fastq.gz	A006850201	S29	L001	R1	Pool14-ovaries	Pool14	ovaries
0.data/mlammers_ML01_Juni1/	172541	0.data/mlammers_ML01_Juni1/A006850201_172541_S30_L001_R1_001.fastq.gz	A006850201	S30	L001	R1	Pool15-ovaries	Pool15	ovaries
0.data/mlammers_ML01_Juni1/	172543	0.data/mlammers_ML01_Juni1/A006850201_172543_S31_L001_R1_001.fastq.gz	A006850201	S31	L001	R1	Pool16-ovaries	Pool16	ovaries
0.data/mlammers_ML01_Juni1/	172545	0.data/mlammers_ML01_Juni1/A006850201_172545_S32_L001_R1_001.fastq.gz	A006850201	S32	L001	R1	Pool17-ovaries	Pool17	ovaries
0.data/mlammers_ML01_Juni1/	172561	0.data/mlammers_ML01_Juni1/A006850201_172561_S33_L001_R1_001.fastq.gz	A006850201	S33	L001	R1	Pool25-ovaries	Pool25	ovaries
0.data/mlammers_ML01_Juni1/	172563	0.data/mlammers_ML01_Juni1/A006850201_172563_S34_L001_R1_001.fastq.gz	A006850201	S34	L001	R1	Pool26-ovaries	Pool26	ovaries
