File.name	A00	FileID	S	L	R	Path
0.data/mlammers_ML01_Juni1/A006850201_172476_S21_L001_R1_001.fastq.gz	A006850201	172476	S21	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172504_S22_L001_R1_001.fastq.gz	A006850201	172504	S22	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172509_S23_L001_R1_001.fastq.gz	A006850201	172509	S23	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172511_S24_L001_R1_001.fastq.gz	A006850201	172511	S24	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172513_S25_L001_R1_001.fastq.gz	A006850201	172513	S25	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172515_S26_L001_R1_001.fastq.gz	A006850201	172515	S26	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172517_S27_L001_R1_001.fastq.gz	A006850201	172517	S27	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172519_S28_L001_R1_001.fastq.gz	A006850201	172519	S28	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172539_S29_L001_R1_001.fastq.gz	A006850201	172539	S29	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172541_S30_L001_R1_001.fastq.gz	A006850201	172541	S30	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172543_S31_L001_R1_001.fastq.gz	A006850201	172543	S31	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172545_S32_L001_R1_001.fastq.gz	A006850201	172545	S32	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172561_S33_L001_R1_001.fastq.gz	A006850201	172561	S33	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172563_S34_L001_R1_001.fastq.gz	A006850201	172563	S34	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172565_S35_L001_R1_001.fastq.gz	A006850201	172565	S35	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172571_S36_L001_R1_001.fastq.gz	A006850201	172571	S36	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172573_S37_L001_R1_001.fastq.gz	A006850201	172573	S37	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172575_S38_L001_R1_001.fastq.gz	A006850201	172575	S38	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Juni1/A006850201_172642_S39_L001_R1_001.fastq.gz	A006850201	172642	S39	L001	R1	0.data/mlammers_ML01_Juni1/
0.data/mlammers_ML01_Mai11/A006850198_172407_S137_L001_R1_001.fastq.gz	A006850198	172407	S137	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172407_S137_L002_R1_001.fastq.gz	A006850198	172407	S137	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172410_S138_L001_R1_001.fastq.gz	A006850198	172410	S138	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172410_S138_L002_R1_001.fastq.gz	A006850198	172410	S138	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172412_S139_L001_R1_001.fastq.gz	A006850198	172412	S139	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172412_S139_L002_R1_001.fastq.gz	A006850198	172412	S139	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172414_S140_L001_R1_001.fastq.gz	A006850198	172414	S140	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172414_S140_L002_R1_001.fastq.gz	A006850198	172414	S140	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172416_S141_L001_R1_001.fastq.gz	A006850198	172416	S141	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172416_S141_L002_R1_001.fastq.gz	A006850198	172416	S141	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172418_S142_L001_R1_001.fastq.gz	A006850198	172418	S142	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172418_S142_L002_R1_001.fastq.gz	A006850198	172418	S142	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172420_S143_L001_R1_001.fastq.gz	A006850198	172420	S143	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172420_S143_L002_R1_001.fastq.gz	A006850198	172420	S143	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172422_S144_L001_R1_001.fastq.gz	A006850198	172422	S144	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172422_S144_L002_R1_001.fastq.gz	A006850198	172422	S144	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172424_S145_L001_R1_001.fastq.gz	A006850198	172424	S145	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172424_S145_L002_R1_001.fastq.gz	A006850198	172424	S145	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172426_S146_L001_R1_001.fastq.gz	A006850198	172426	S146	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172426_S146_L002_R1_001.fastq.gz	A006850198	172426	S146	L002	R1	0.data/mlammers_ML01_Mai11/
