0.data/mlammers_ML01_Juni1/	172642	0.data/mlammers_ML01_Juni1/A006850201_172642_S39_L001_R1_001.fastq.gz	A006850201	S39	L001	R1	Pool13-venom	Pool13	venom
0.data/mlammers_ML01_Mai11/	172618	0.data/mlammers_ML01_Mai11/A006850198_172618_S241_L001_R1_001.fastq.gz	A006850198	S241	L001	R1	Pool1-venom	Pool1	venom
0.data/mlammers_ML01_Mai11/	172618	0.data/mlammers_ML01_Mai11/A006850198_172618_S241_L002_R1_001.fastq.gz	A006850198	S241	L002	R1	Pool1-venom	Pool1	venom
0.data/mlammers_ML01_Mai11/	172620	0.data/mlammers_ML01_Mai11/A006850198_172620_S242_L001_R1_001.fastq.gz	A006850198	S242	L001	R1	Pool2-venom	Pool2	venom
0.data/mlammers_ML01_Mai11/	172620	0.data/mlammers_ML01_Mai11/A006850198_172620_S242_L002_R1_001.fastq.gz	A006850198	S242	L002	R1	Pool2-venom	Pool2	venom
0.data/mlammers_ML01_Mai11/	172622	0.data/mlammers_ML01_Mai11/A006850198_172622_S243_L001_R1_001.fastq.gz	A006850198	S243	L001	R1	Pool3-venom	Pool3	venom
0.data/mlammers_ML01_Mai11/	172622	0.data/mlammers_ML01_Mai11/A006850198_172622_S243_L002_R1_001.fastq.gz	A006850198	S243	L002	R1	Pool3-venom	Pool3	venom
0.data/mlammers_ML01_Mai11/	172624	0.data/mlammers_ML01_Mai11/A006850198_172624_S244_L001_R1_001.fastq.gz	A006850198	S244	L001	R1	Pool4-venom	Pool4	venom
0.data/mlammers_ML01_Mai11/	172624	0.data/mlammers_ML01_Mai11/A006850198_172624_S244_L002_R1_001.fastq.gz	A006850198	S244	L002	R1	Pool4-venom	Pool4	venom
0.data/mlammers_ML01_Mai11/	172626	0.data/mlammers_ML01_Mai11/A006850198_172626_S245_L001_R1_001.fastq.gz	A006850198	S245	L001	R1	Pool5-venom	Pool5	venom
0.data/mlammers_ML01_Mai11/	172626	0.data/mlammers_ML01_Mai11/A006850198_172626_S245_L002_R1_001.fastq.gz	A006850198	S245	L002	R1	Pool5-venom	Pool5	venom
0.data/mlammers_ML01_Mai11/	172628	0.data/mlammers_ML01_Mai11/A006850198_172628_S246_L001_R1_001.fastq.gz	A006850198	S246	L001	R1	Pool6-venom	Pool6	venom
0.data/mlammers_ML01_Mai11/	172628	0.data/mlammers_ML01_Mai11/A006850198_172628_S246_L002_R1_001.fastq.gz	A006850198	S246	L002	R1	Pool6-venom	Pool6	venom
0.data/mlammers_ML01_Mai11/	172630	0.data/mlammers_ML01_Mai11/A006850198_172630_S247_L001_R1_001.fastq.gz	A006850198	S247	L001	R1	Pool7-venom	Pool7	venom
0.data/mlammers_ML01_Mai11/	172630	0.data/mlammers_ML01_Mai11/A006850198_172630_S247_L002_R1_001.fastq.gz	A006850198	S247	L002	R1	Pool7-venom	Pool7	venom
0.data/mlammers_ML01_Mai11/	172632	0.data/mlammers_ML01_Mai11/A006850198_172632_S248_L001_R1_001.fastq.gz	A006850198	S248	L001	R1	Pool8-venom	Pool8	venom
0.data/mlammers_ML01_Mai11/	172632	0.data/mlammers_ML01_Mai11/A006850198_172632_S248_L002_R1_001.fastq.gz	A006850198	S248	L002	R1	Pool8-venom	Pool8	venom
0.data/mlammers_ML01_Mai11/	172634	0.data/mlammers_ML01_Mai11/A006850198_172634_S249_L001_R1_001.fastq.gz	A006850198	S249	L001	R1	Pool9-venom	Pool9	venom
0.data/mlammers_ML01_Mai11/	172634	0.data/mlammers_ML01_Mai11/A006850198_172634_S249_L002_R1_001.fastq.gz	A006850198	S249	L002	R1	Pool9-venom	Pool9	venom
0.data/mlammers_ML01_Mai11/	172636	0.data/mlammers_ML01_Mai11/A006850198_172636_S250_L001_R1_001.fastq.gz	A006850198	S250	L001	R1	Pool10-venom	Pool10	venom
0.data/mlammers_ML01_Mai11/	172636	0.data/mlammers_ML01_Mai11/A006850198_172636_S250_L002_R1_001.fastq.gz	A006850198	S250	L002	R1	Pool10-venom	Pool10	venom
0.data/mlammers_ML01_Mai11/	172638	0.data/mlammers_ML01_Mai11/A006850198_172638_S251_L001_R1_001.fastq.gz	A006850198	S251	L001	R1	Pool11-venom	Pool11	venom
0.data/mlammers_ML01_Mai11/	172638	0.data/mlammers_ML01_Mai11/A006850198_172638_S251_L002_R1_001.fastq.gz	A006850198	S251	L002	R1	Pool11-venom	Pool11	venom
0.data/mlammers_ML01_Mai11/	172640	0.data/mlammers_ML01_Mai11/A006850198_172640_S252_L001_R1_001.fastq.gz	A006850198	S252	L001	R1	Pool12-venom	Pool12	venom
0.data/mlammers_ML01_Mai11/	172640	0.data/mlammers_ML01_Mai11/A006850198_172640_S252_L002_R1_001.fastq.gz	A006850198	S252	L002	R1	Pool12-venom	Pool12	venom
0.data/mlammers_ML01_Mai11/	172642	0.data/mlammers_ML01_Mai11/A006850198_172642_S253_L001_R1_001.fastq.gz	A006850198	S253	L001	R1	Pool13-venom	Pool13	venom
0.data/mlammers_ML01_Mai11/	172642	0.data/mlammers_ML01_Mai11/A006850198_172642_S253_L002_R1_001.fastq.gz	A006850198	S253	L002	R1	Pool13-venom	Pool13	venom
0.data/mlammers_ML01_Mai11/	172644	0.data/mlammers_ML01_Mai11/A006850198_172644_S254_L001_R1_001.fastq.gz	A006850198	S254	L001	R1	Pool14-venom	Pool14	venom
0.data/mlammers_ML01_Mai11/	172644	0.data/mlammers_ML01_Mai11/A006850198_172644_S254_L002_R1_001.fastq.gz	A006850198	S254	L002	R1	Pool14-venom	Pool14	venom
0.data/mlammers_ML01_Mai11/	172646	0.data/mlammers_ML01_Mai11/A006850198_172646_S255_L001_R1_001.fastq.gz	A006850198	S255	L001	R1	Pool15-venom	Pool15	venom
0.data/mlammers_ML01_Mai11/	172646	0.data/mlammers_ML01_Mai11/A006850198_172646_S255_L002_R1_001.fastq.gz	A006850198	S255	L002	R1	Pool15-venom	Pool15	venom
0.data/mlammers_ML01_Mai11/	172648	0.data/mlammers_ML01_Mai11/A006850198_172648_S256_L001_R1_001.fastq.gz	A006850198	S256	L001	R1	Pool16-venom	Pool16	venom
