FileID	Sample.Name	Path	Sample	Tissue
172476	Pool35-head	0.data/mlammers_ML01_Juni1/	Pool35	head
172504	Pool49-head	0.data/mlammers_ML01_Juni1/	Pool49	head
172509	Pool51-head	0.data/mlammers_ML01_Juni1/	Pool51	head
172511	Pool52-head	0.data/mlammers_ML01_Juni1/	Pool52	head
172513	Pool1-ovaries	0.data/mlammers_ML01_Juni1/	Pool1	ovaries
172515	Pool2-ovaries	0.data/mlammers_ML01_Juni1/	Pool2	ovaries
172517	Pool3-ovaries	0.data/mlammers_ML01_Juni1/	Pool3	ovaries
172519	Pool4-ovaries	0.data/mlammers_ML01_Juni1/	Pool4	ovaries
172539	Pool14-ovaries	0.data/mlammers_ML01_Juni1/	Pool14	ovaries
172541	Pool15-ovaries	0.data/mlammers_ML01_Juni1/	Pool15	ovaries
172543	Pool16-ovaries	0.data/mlammers_ML01_Juni1/	Pool16	ovaries
172545	Pool17-ovaries	0.data/mlammers_ML01_Juni1/	Pool17	ovaries
172561	Pool25-ovaries	0.data/mlammers_ML01_Juni1/	Pool25	ovaries
172563	Pool26-ovaries	0.data/mlammers_ML01_Juni1/	Pool26	ovaries
172565	Pool27-ovaries	0.data/mlammers_ML01_Juni1/	Pool27	ovaries
172571	Pool30-ovaries	0.data/mlammers_ML01_Juni1/	Pool30	ovaries
172573	Pool31-ovaries	0.data/mlammers_ML01_Juni1/	Pool31	ovaries
172575	Pool32-ovaries	0.data/mlammers_ML01_Juni1/	Pool32	ovaries
172642	Pool13-venom	0.data/mlammers_ML01_Juni1/	Pool13	venom
172407	Pool1-head	0.data/mlammers_ML01_Mai11/	Pool1	head
172410	Pool2-head	0.data/mlammers_ML01_Mai11/	Pool2	head
172412	Pool3-head	0.data/mlammers_ML01_Mai11/	Pool3	head
172414	Pool4-head	0.data/mlammers_ML01_Mai11/	Pool4	head
172416	Pool5-head	0.data/mlammers_ML01_Mai11/	Pool5	head
172418	Pool6-head	0.data/mlammers_ML01_Mai11/	Pool6	head
172420	Pool7-head	0.data/mlammers_ML01_Mai11/	Pool7	head
172422	Pool8-head	0.data/mlammers_ML01_Mai11/	Pool8	head
172424	Pool9-head	0.data/mlammers_ML01_Mai11/	Pool9	head
172426	Pool10-head	0.data/mlammers_ML01_Mai11/	Pool10	head
172428	Pool11-head	0.data/mlammers_ML01_Mai11/	Pool11	head
172430	Pool12-head	0.data/mlammers_ML01_Mai11/	Pool12	head
172432	Pool13-head	0.data/mlammers_ML01_Mai11/	Pool13	head
172434	Pool14-head	0.data/mlammers_ML01_Mai11/	Pool14	head
172436	Pool15-head	0.data/mlammers_ML01_Mai11/	Pool15	head
172438	Pool16-head	0.data/mlammers_ML01_Mai11/	Pool16	head
172440	Pool17-head	0.data/mlammers_ML01_Mai11/	Pool17	head
172442	Pool18-head	0.data/mlammers_ML01_Mai11/	Pool18	head
172444	Pool19-head	0.data/mlammers_ML01_Mai11/	Pool19	head
172446	Pool20-head	0.data/mlammers_ML01_Mai11/	Pool20	head
172448	Pool21-head	0.data/mlammers_ML01_Mai11/	Pool21	head
172450	Pool22-head	0.data/mlammers_ML01_Mai11/	Pool22	head
172452	Pool23-head	0.data/mlammers_ML01_Mai11/	Pool23	head
172454	Pool24-head	0.data/mlammers_ML01_Mai11/	Pool24	head
172456	Pool25-head	0.data/mlammers_ML01_Mai11/	Pool25	head
172458	Pool26-head	0.data/mlammers_ML01_Mai11/	Pool26	head
172460	Pool27-head	0.data/mlammers_ML01_Mai11/	Pool27	head
172462	Pool28-head	0.data/mlammers_ML01_Mai11/	Pool28	head
172464	Pool29-head	0.data/mlammers_ML01_Mai11/	Pool29	head
172466	Pool30-head	0.data/mlammers_ML01_Mai11/	Pool30	head
172468	Pool31-head	0.data/mlammers_ML01_Mai11/	Pool31	head
172470	Pool32-head	0.data/mlammers_ML01_Mai11/	Pool32	head
172472	Pool33-head	0.data/mlammers_ML01_Mai11/	Pool33	head
172474	Pool34-head	0.data/mlammers_ML01_Mai11/	Pool34	head
172476	Pool35-head	0.data/mlammers_ML01_Mai11/	Pool35	head
172478	Pool36-head	0.data/mlammers_ML01_Mai11/	Pool36	head
172480	Pool37-head	0.data/mlammers_ML01_Mai11/	Pool37	head
172482	Pool38-head	0.data/mlammers_ML01_Mai11/	Pool38	head
172484	Pool39-head	0.data/mlammers_ML01_Mai11/	Pool39	head
172486	Pool40-head	0.data/mlammers_ML01_Mai11/	Pool40	head
172488	Pool41-head	0.data/mlammers_ML01_Mai11/	Pool41	head
172490	Pool42-head	0.data/mlammers_ML01_Mai11/	Pool42	head
172492	Pool43-head	0.data/mlammers_ML01_Mai11/	Pool43	head
172494	Pool44-head	0.data/mlammers_ML01_Mai11/	Pool44	head
172496	Pool45-head	0.data/mlammers_ML01_Mai11/	Pool45	head
