Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
A006850198_172407_S137_L001_R1_001	A006850198_172407_S137_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6709820.0	0.0	101.0	34.0	59.649258679679626	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
A006850198_172407_S137_L002_R1_001	A006850198_172407_S137_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6774262.0	0.0	101.0	34.0	59.54578437480986	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
A006850198_172410_S138_L001_R1_001	A006850198_172410_S138_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6339904.0	0.0	101.0	35.0	56.65290760202868	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
A006850198_172410_S138_L002_R1_001	A006850198_172410_S138_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6368863.0	0.0	101.0	35.0	56.77580826850327	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
A006850198_172412_S139_L001_R1_001	A006850198_172412_S139_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6541710.0	0.0	101.0	39.0	39.12557934992103	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
A006850198_172412_S139_L002_R1_001	A006850198_172412_S139_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6569043.0	0.0	101.0	39.0	39.48870064526304	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
A006850198_172414_S140_L001_R1_001	A006850198_172414_S140_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8060577.0	0.0	101.0	39.0	35.53597256500378	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
A006850198_172414_S140_L002_R1_001	A006850198_172414_S140_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8095174.0	0.0	101.0	39.0	36.019084824841144	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
A006850198_172416_S141_L001_R1_001	A006850198_172416_S141_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6769689.0	0.0	101.0	37.0	47.31641992070782	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
A006850198_172416_S141_L002_R1_001	A006850198_172416_S141_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6779980.0	0.0	101.0	37.0	47.329573041894214	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
A006850198_172418_S142_L001_R1_001	A006850198_172418_S142_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6795605.0	0.0	101.0	40.0	32.971807112455494	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
A006850198_172418_S142_L002_R1_001	A006850198_172418_S142_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6862315.0	0.0	101.0	40.0	32.89881072252127	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
A006850198_172420_S143_L001_R1_001	A006850198_172420_S143_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7432357.0	0.0	101.0	34.0	56.631912631851975	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
