Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
A006850198_172407_S137_L001_R1_001	40.350741320320374	34.0	101.0	101	18.181818181818183	6709820.0
A006850198_172407_S137_L002_R1_001	40.45421562519014	34.0	101.0	101	18.181818181818183	6774262.0
A006850198_172410_S138_L001_R1_001	43.34709239797132	35.0	101.0	101	27.27272727272727	6339904.0
A006850198_172410_S138_L002_R1_001	43.22419173149673	35.0	101.0	101	27.27272727272727	6368863.0
A006850198_172412_S139_L001_R1_001	60.87442065007897	39.0	101.0	101	36.36363636363637	6541710.0
A006850198_172412_S139_L002_R1_001	60.51129935473696	39.0	101.0	101	36.36363636363637	6569043.0
A006850198_172414_S140_L001_R1_001	64.46402743499621	39.0	101.0	101	36.36363636363637	8060577.0
A006850198_172414_S140_L002_R1_001	63.980915175158856	39.0	101.0	101	36.36363636363637	8095174.0
A006850198_172416_S141_L001_R1_001	52.68358007929218	37.0	101.0	101	36.36363636363637	6769689.0
A006850198_172416_S141_L002_R1_001	52.670426958105786	37.0	101.0	101	36.36363636363637	6779980.0
A006850198_172418_S142_L001_R1_001	67.0281928875445	40.0	101.0	101	36.36363636363637	6795605.0
A006850198_172418_S142_L002_R1_001	67.10118927747874	40.0	101.0	101	36.36363636363637	6862315.0
A006850198_172420_S143_L001_R1_001	43.368087368148025	34.0	101.0	101	18.181818181818183	7432357.0
A006850198_172420_S143_L002_R1_001	43.253938010689296	34.0	101.0	101	18.181818181818183	7473081.0
A006850198_172422_S144_L001_R1_001	52.60770610963404	36.0	101.0	101	36.36363636363637	6368429.0
A006850198_172422_S144_L002_R1_001	52.66154106150464	36.0	101.0	101	36.36363636363637	6407390.0
A006850198_172424_S145_L001_R1_001	40.87005392906503	35.0	101.0	101	18.181818181818183	6335896.0
A006850198_172424_S145_L002_R1_001	40.92056192811264	35.0	101.0	101	18.181818181818183	6379833.0
A006850198_172426_S146_L001_R1_001	43.25986757955407	34.0	101.0	101	18.181818181818183	9210270.0
A006850198_172426_S146_L002_R1_001	43.30955710815879	34.0	101.0	101	18.181818181818183	9247235.0
A006850198_172428_S147_L001_R1_001	45.99577349202137	37.0	101.0	101	18.181818181818183	7140364.0
A006850198_172428_S147_L002_R1_001	45.96440606976553	37.0	101.0	101	18.181818181818183	7180292.0
A006850198_172430_S148_L001_R1_001	43.870176500035974	35.0	101.0	101	27.27272727272727	7493713.0
A006850198_172430_S148_L002_R1_001	43.95919745264415	36.0	101.0	101	27.27272727272727	7571345.0
A006850198_172432_S149_L001_R1_001	52.242178378350374	38.0	101.0	101	27.27272727272727	8100992.0
A006850198_172432_S149_L002_R1_001	52.076893325376275	38.0	101.0	101	27.27272727272727	8186423.0
A006850198_172434_S150_L001_R1_001	53.80244499997962	40.0	101.0	101	27.27272727272727	6281285.0
A006850198_172434_S150_L002_R1_001	53.856908684661576	40.0	101.0	101	27.27272727272727	6355132.0
A006850198_172436_S151_L001_R1_001	44.96823077593473	35.0	101.0	101	27.27272727272727	7098767.0
A006850198_172436_S151_L002_R1_001	44.74555181157089	35.0	101.0	101	27.27272727272727	7129730.0
A006850198_172438_S152_L001_R1_001	44.78081066949516	36.0	101.0	101	18.181818181818183	6354180.0
A006850198_172438_S152_L002_R1_001	44.83952454696157	36.0	101.0	101	18.181818181818183	6382715.0
A006850198_172440_S153_L001_R1_001	46.52464995299107	36.0	101.0	101	18.181818181818183	6784226.0
A006850198_172440_S153_L002_R1_001	46.46579561451662	36.0	101.0	101	18.181818181818183	6815266.0
A006850198_172442_S154_L001_R1_001	49.45475089555168	37.0	101.0	101	18.181818181818183	5512905.0
A006850198_172442_S154_L002_R1_001	49.27061776652014	38.0	101.0	101	18.181818181818183	5559256.0
A006850198_172444_S155_L001_R1_001	46.15752341003311	37.0	101.0	101	18.181818181818183	6856536.0
A006850198_172444_S155_L002_R1_001	46.11195977758102	37.0	101.0	101	18.181818181818183	6917937.0
A006850198_172446_S156_L001_R1_001	44.81024309785852	36.0	101.0	101	18.181818181818183	5533296.0
A006850198_172446_S156_L002_R1_001	44.50619795453888	36.0	101.0	101	18.181818181818183	5582435.0
A006850198_172448_S157_L001_R1_001	51.99818194561993	36.0	101.0	101	36.36363636363637	7240931.0
A006850198_172448_S157_L002_R1_001	52.073797254607086	36.0	101.0	101	36.36363636363637	7334057.0
A006850198_172450_S158_L001_R1_001	40.447625014027366	35.0	101.0	101	27.27272727272727	6494375.0
A006850198_172450_S158_L002_R1_001	40.348139433268805	35.0	101.0	101	27.27272727272727	6537509.0
A006850198_172452_S159_L001_R1_001	49.85524285862335	36.0	101.0	101	27.27272727272727	6190554.0
A006850198_172452_S159_L002_R1_001	49.80688057910694	37.0	101.0	101	27.27272727272727	6226539.0
A006850198_172454_S160_L001_R1_001	48.5790838377236	36.0	101.0	101	27.27272727272727	6776232.0
A006850198_172454_S160_L002_R1_001	48.683656837361	36.0	101.0	101	27.27272727272727	6812383.0
A006850198_172456_S161_L001_R1_001	48.16148542583998	37.0	101.0	101	18.181818181818183	6752264.0
A006850198_172456_S161_L002_R1_001	48.1309553673023	37.0	101.0	101	18.181818181818183	6787053.0
A006850198_172458_S162_L001_R1_001	49.075434744747184	36.0	101.0	101	18.181818181818183	6173150.0
A006850198_172458_S162_L002_R1_001	48.72926962495444	36.0	101.0	101	18.181818181818183	6216032.0
A006850198_172460_S163_L001_R1_001	46.72125618168907	36.0	101.0	101	27.27272727272727	6417163.0
A006850198_172460_S163_L002_R1_001	46.63120643641013	36.0	101.0	101	18.181818181818183	6479187.0
A006850198_172462_S164_L001_R1_001	48.64258707910793	36.0	101.0	101	27.27272727272727	7100447.0
A006850198_172462_S164_L002_R1_001	48.7766559479794	36.0	101.0	101	27.27272727272727	7155556.0
A006850198_172464_S165_L001_R1_001	46.32013392004697	36.0	101.0	101	18.181818181818183	7941245.0
A006850198_172464_S165_L002_R1_001	46.18424570490024	36.0	101.0	101	18.181818181818183	7993293.0
A006850198_172466_S166_L001_R1_001	44.163580932784605	35.0	101.0	101	27.27272727272727	5652096.0
A006850198_172466_S166_L002_R1_001	44.046214309998554	35.0	101.0	101	27.27272727272727	5695424.0
A006850198_172468_S167_L001_R1_001	41.77928280895089	35.0	101.0	101	18.181818181818183	6930112.0
A006850198_172468_S167_L002_R1_001	41.798010072369294	35.0	101.0	101	18.181818181818183	6959923.0
