Input;Start;Finish;Input.file.size;Output.file.size
0.data/mlammers_ML01_Juni1/A006850201_172476_S21_L001_R1_001.mapped.sam;20230906105345;20230906105904;545368;2332
0.data/mlammers_ML01_Juni1/A006850201_172504_S22_L001_R1_001.mapped.sam;20230906105904;20230906110306;409220;2328
0.data/mlammers_ML01_Juni1/A006850201_172509_S23_L001_R1_001.mapped.sam;20230906110306;20230906110619;317752;2324
0.data/mlammers_ML01_Juni1/A006850201_172511_S24_L001_R1_001.mapped.sam;20230906110619;20230906111021;400088;2328
0.data/mlammers_ML01_Juni1/A006850201_172513_S25_L001_R1_001.mapped.sam;20230906111021;20230906111403;380880;2328
0.data/mlammers_ML01_Juni1/A006850201_172515_S26_L001_R1_001.mapped.sam;20230906111403;20230906111715;255128;2320
0.data/mlammers_ML01_Juni1/A006850201_172517_S27_L001_R1_001.mapped.sam;20230906111715;20230906112041;303620;2320
0.data/mlammers_ML01_Juni1/A006850201_172519_S28_L001_R1_001.mapped.sam;20230906112041;20230906112349;280024;2320
0.data/mlammers_ML01_Juni1/A006850201_172539_S29_L001_R1_001.mapped.sam;20230906112349;20230906112650;254128;2320
0.data/mlammers_ML01_Juni1/A006850201_172541_S30_L001_R1_001.mapped.sam;20230906112650;20230906112936;240136;2320
0.data/mlammers_ML01_Juni1/A006850201_172543_S31_L001_R1_001.mapped.sam;20230906112937;20230906113303;295728;2320
0.data/mlammers_ML01_Juni1/A006850201_172545_S32_L001_R1_001.mapped.sam;20230906113303;20230906113619;282336;2320
0.data/mlammers_ML01_Juni1/A006850201_172561_S33_L001_R1_001.mapped.sam;20230906113619;20230906113910;244348;2320
0.data/mlammers_ML01_Juni1/A006850201_172563_S34_L001_R1_001.mapped.sam;20230906113910;20230906114313;361100;2324
0.data/mlammers_ML01_Juni1/A006850201_172565_S35_L001_R1_001.mapped.sam;20230906114313;20230906114639;313456;2324
0.data/mlammers_ML01_Juni1/A006850201_172571_S36_L001_R1_001.mapped.sam;20230906114639;20230906115005;303936;2320
0.data/mlammers_ML01_Juni1/A006850201_172573_S37_L001_R1_001.mapped.sam;20230906115005;20230906115334;307924;2320
0.data/mlammers_ML01_Juni1/A006850201_172575_S38_L001_R1_001.mapped.sam;20230906115335;20230906115606;258840;2324
0.data/mlammers_ML01_Juni1/A006850201_172642_S39_L001_R1_001.mapped.sam;20230906115606;20230906120100;370180;2316
0.data/mlammers_ML01_Mai11/A006850198_172407_S137_L001_R1_001.mapped.sam;20230906120100;20230906121006;886648;2336
0.data/mlammers_ML01_Mai11/A006850198_172410_S138_L001_R1_001.mapped.sam;20230906121006;20230906121846;819996;2336
0.data/mlammers_ML01_Mai11/A006850198_172412_S139_L001_R1_001.mapped.sam;20230906121846;20230906122738;712304;2328
0.data/mlammers_ML01_Mai11/A006850198_172414_S140_L001_R1_001.mapped.sam;20230906122738;20230906123813;866904;2328
0.data/mlammers_ML01_Mai11/A006850198_172416_S141_L001_R1_001.mapped.sam;20230906123814;20230906124723;800104;2332
